"table";"forder";"field";"label[FR]";"ftype";"fcount";"target";"compulsory";"browsable";"multivalued";"published";"queryable";"translatable";"options[checkbox]";"options[readonly]"
;;;;;;;;;;;;;;
"DPERSONNE";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DPERSONNE";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DADRESSE";1;1;1;;1;;0;
"DPERSONNE";3;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Personne";;1;;1;1;;0;
"DPERSONNE";4;"Civilite";"Civilité";"XLinkDef";;"tzrprefix_LS_Civilite";;1;;;1;;0;
"DPERSONNE";5;"Prenom";"Prénom";"XShortTextDef";30;;;1;;1;1;;;
"DPERSONNE";6;"Nom";"Nom";"XShortTextDef";80;;;1;;1;1;;;
"DPERSONNE";7;"Fonction";"Fonction";"XShortTextDef";80;;;1;;;1;1;;
"DPERSONNE";8;"Service";"Service";"XShortTextDef";80;;;1;;;1;1;;
;;;;;;;;;;;;;;
"DMOYENCOM";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DMOYENCOM";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DPERSONNE";1;1;1;1;1;;0;
"DMOYENCOM";3;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_MoyensCom";;1;;1;1;;0;
"DMOYENCOM";4;"Coord";"Coordonnées";"XTextDef";60;;;1;;1;1;1;;
"DMOYENCOM";5;"ObservationDetailMoyenCom";"Observations";"XTextDef";60;;;1;;;;1;;
;;;;;;;;;;;;;;
"INFOLEG";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"INFOLEG";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DC";1;1;;1;1;;0;
"INFOLEG";3;"ModeGestion";"Mode de gestion";"XLinkDef";;"tzrprefix_LS_ModeGestion";;1;;1;;;0;
"INFOLEG";4;"SIRET";"N° SIRET";"XShortTextDef";14;;;1;;1;1;;;
"INFOLEG";5;"APE_NAF";"N° APE / NAF";"XShortTextDef";4;;;1;;;1;;;
"INFOLEG";6;"RCS";"RCS";"XShortTextDef";12;;;1;;;;;;
"INFOLEG";7;"NumAgrementLicence";"Agrément de licence";"XShortTextDef";80;;;1;;;;;;
;;;;;;;;;;;;;;
"DCLASSEMENT";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DCLASSEMENT";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DC";1;1;;1;1;;0;
"DCLASSEMENT";3;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_TypeClassement";;1;;1;1;;0;
"DCLASSEMENT";4;"Classement";"Classement";"XLinkDef";;"tzrprefix_LS_Classement";;1;;1;1;;0;
"DCLASSEMENT";5;"DateClassement";"Date";"XDateTimeDef";;;;1;;;;;;
"DCLASSEMENT";6;"NumeroClassement";"Numéro";"XShortTextDef";10;;;;;;;;;
"DCLASSEMENT";7;"Theme";"Thème";"XShortTextDef";80;;;;;;1;1;;
"DCLASSEMENT";8;"ObservationDetailClassmt";"Observation";"XTextDef";60;;;;;;;1;;
;;;;;;;;;;;;;;
"DGEOLOC";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DGEOLOC";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DC";1;1;;1;1;;0;
"DGEOLOC";3;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Geolocalisation";;1;;1;1;;0;
;;;;;;;;;;;;;;
"ZONES";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"ZONES";2;"tzr_lie";"Lié à";"XLinkDef";;;1;1;1;1;1;;0;
"ZONES";3;"tzr_isiti";"Spécifique à un itinéraire";"XBoolDef";;;;1;;;1;;;
"ZONES";4;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Zone";;1;;1;1;;0;
"ZONES";5;"Nom";"Nom";"XLinkDef";;"tzrprefix_LS_ZoneNoms";;1;;1;1;;0;
;;;;;;;;;;;;;;
"DPOINT";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DPOINT";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_ZONES";1;1;1;;1;;0;
"DPOINT";3;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Point";;1;;1;1;;0;
"DPOINT";4;"Nom";"Nom";"XShortTextDef";80;;;1;;1;1;1;;
"DPOINT";5;"Commune";"Commune";"XLinkDef";;"tzrprefix_LS_Commune";;1;;;1;;0;
;;;;;;;;;;;;;;
"DCOOR";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DCOOR";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DPOINT";1;1;1;1;1;;0;
"DCOOR";3;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Coordonnees";;1;;1;1;;0;
"DCOOR";4;"Longitude";"Longitude";"XShortTextDef";20;;;1;;;;;;
