"table";"forder";"field";"label[FR]";"ftype";"fcount";"target";"compulsory";"browsable";"multivalued";"published";"translatable";"queryable"
"LS_ZoneNoms";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_ZoneNoms";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Point";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Point";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Point";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Acces";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Acces";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Acces";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Zone";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Zone";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Zone";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Periode";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Periode";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Periode";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Jour";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Jour";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Jour";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Jours";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Jours";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Jours";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Clienteles";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Clienteles";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Clienteles";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Client";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Client";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Client";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Usage";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Usage";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Usage";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_ModeReservation";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_ModeReservation";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_ModeReservation";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Devises";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Devises";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Devises";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_ModePaiement";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_ModePaiement";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_ModePaiement";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_TarifMode";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_TarifMode";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_TarifMode";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Tarifs";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Tarifs";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_Tarifs";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_MontantPourcent";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_MontantPourcent";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_MontantPourcent";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_CapaciteGlobale";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_CapaciteGlobale";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_CapaciteGlobale";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_CapacitePrest";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_CapacitePrest";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_CapacitePrest";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_TypeBatiment";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_TypeBatiment";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
"LS_TypeBatiment";3;"codesv2";"Codes V2";"XShortTextDef";255;;0;1;0;0;0;1
"LS_Unite";1;"code";"Code";"XShortTextDef";30;;1;1;0;1;0;1
"LS_Unite";2;"libelle";"Libellé";"XShortTextDef";255;;1;1;0;1;1;1
