13.01.01;Euro;
13.01.02;Dollar (Dollar (USA));
13.01.03;Dollar canadien;
13.01.04;Franc suisse;
13.01.05;Livre (Livre (ROYAUME UNI));
13.01.06;Livre (Livre (TURQUIE));
