06.03.06.01;Bottin Gourmand;|BOGOU|
06.03.06.02;Champerard;|CHAMP|
06.03.06.03;Guide Deuzere;|DEUZE|
06.03.06.04;Eurotoque;|EUROT|
06.03.06.05;Gault Millau;|GAULT|
06.03.06.06;Guide des bonnes tables;|GUDBT|
06.03.06.07;Guide des Relais Routiers;|GUDRR|
06.03.06.08;Guide des Sentiers Gourmands;|GUDSG|
06.03.06.09;Guide de l'Auto-Journal;|GULAJ|
06.03.06.10;Hachette;|HACHE|
06.03.06.11;Le petit futé;|LPEFU|
06.03.06.12;Michelin;|MICHE|
06.03.06.13;Numéro 1;|NUME1|
06.03.06.14;Pudowski;|PUDOW|
06.03.06.15;Restaurateurs de France;|RESFR|
06.03.06.16;Le Routard Hôtels et Restos de France;|RHERF|
06.03.06.17;Le Routard Tables et Chambres à la campagne;|RTECC|
06.03.06.18;Sentiers gourmands;|SENGO|
06.04.01;Préfectoral;
06.04.01.01;OTSI;
06.04.02.01;Domaine du Conservatoire de l'Espace Littoral;|PCONS|
06.04.02.02;Sites classés ou inscrits à l'inventaire de la DRAC;|PDRAC|
06.04.02.03;Forets;|PFORE|
06.04.02.04;Parc Naturel National;|PNATI|
06.04.02.05;Non classé;|PNC|
06.04.02.06;Parc Naturel Régional;|PREGI|
06.04.02.07;Réserve naturelle;|PRENA|
06.04.02.08;Réserve naturelle volontaire;|PREVO|
06.04.02.09;Patrimoine mondial (UNESCO);|PUNES|
06.05;Tourisme et handicap;
